Estacao 000571
Inicio 20200916000000
Fim 20200930235000
CH01 Dia do ino (de 10 minutos) de medicao [AAAAMMDD]
CH02 Horario do ino (de 10 minutos) de medicao [hhmmss]
CH03 C intervalo, com "0" indicando medicao sem erro
CH04 Pressao do ar [hPa]: media do intervalo
CH05 Temperatura do ar [C] : media do intervalo
CH06 Umidade relativa do ar [% rel]: media do intervalo
CH07 Anemometro superior (89m), velocidade do vento [m/s]: media do intervalo
CH08 Anemometro superior (89m), velocidade do vento [m/s]: maximo do intervalo
CH09 Anemometro superior (89m), velocidade do vento [m/s]:minimo do intervalo
CH10 Anemometro superior (89m), velocidade do vento [m/s]: desvio padrao do intervalo
CH11 Wind Vane superior (86m), direcao de vento []: media do intervalo
CH12 Wind Vane superior (86m), direcao de vento []: desvio padrao do intervalo
CH13 Anemometro 2 (60m), velocidade do vento [m/s]: media do intervalo
CH14 Anemometro 2 (60m), velocidade do vento [m/s]: maximo do intervalo
CH15 Anemometro 2 (60m), velocidade do vento [m/s]:minimo do intervalo
CH16 Anemometro 2 (60m), velocidade do vento [m/s]: desvio padrao do intervalo
CH17 Wind Vane 2 (30m), direcao de vento []: media do intervalo
CH18 Wind Vane 2 (30m), direcao de vento []: desvio padrao do intervalo
CH19 Anemometro 3 (87,5m), velocidade do vento [m/s]: media do intervalo
CH20 Anemometro 3 (87,5m), velocidade do vento [m/s]: maximo do intervalo
CH21 Anemometro 3 (87,5m), velocidade do vento [m/s]:minimo do intervalo
CH22 Anemometro 3 (87,5m), velocidade do vento [m/s]: desvio padrao do intervalo
CH23 Inexistente
CH24 Inexistente
CH01    |CH02   |CH03 |CH04 |CH05 |CH06 |CH07 |CH08 |CH09 |CH10 |CH11 |CH12 |CH13 |CH14 |CH15 |CH16 |CH17 |CH18 |CH19 |CH20 |CH21 |CH22 |CH23 |CH24 |
dados
20200916| 034000|    0| 1001| 14,9| 94,1| 6,54| 9,35| 4,50| 0,80|   34|    6| 5,15| 7,09| 2,99| 0,79|   29|    8| 6,48| 8,74| 4,37| 0,78|   - |   - |
20200916| 035000|    0| 1001| 14,9| 94,2| 5,61| 7,36| 2,89| 0,81|   32|    6| 4,08| 5,34| 3,08| 0,45|   29|    7| 5,58| 7,45| 2,90| 0,82|   - |   - |
20200916| 040000|    0| 1002| 15,0| 94,4| 4,89| 6,76| 3,26| 0,62|   22|    9| 3,54| 5,06| 2,62| 0,45|   19|   11| 4,85| 6,58| 3,31| 0,63|   - |   - |
20200916| 041000|    0| 1002| 15,1| 94,5| 3,95| 5,70| 2,89| 0,47|   11|    7| 2,94| 3,87| 2,07| 0,37|    6|    6| 3,93| 5,75| 2,85| 0,45|   - |   - |
20200916| 042000|    0| 1002| 15,1| 94,6| 4,30| 5,88| 2,79| 0,54|   14|    6| 3,30| 4,46| 2,02| 0,46|    9|    8| 4,28| 5,79| 2,80| 0,51|   - |   - |
20200916| 043000|    0| 1002| 15,1| 94,6| 2,72| 3,58| 1,92| 0,34|  354|   15| 2,54| 3,64| 1,56| 0,43|  301|   38| 2,70| 3,45| 1,84| 0,33|   - |   - |
20200916| 044000|    0| 1002| 15,1| 94,6| 1,79| 3,26| 0,35| 0,67|  344|   51| 2,35| 3,87| 1,06| 0,57|  232|   24| 1,81| 3,31| 0,50| 0,64|   - |   - |
20200916| 045000|    0| 1002| 15,1| 94,9| 1,16| 1,69| 0,63| 0,26|  309|   55| 1,85| 2,21| 1,33| 0,14|  211|    8| 1,16| 1,79| 0,64| 0,25|   - |   - |
20200916| 050000|    0| 1002| 15,1| 94,9| 1,19| 2,19| 0,63| 0,36|  264|   32| 2,55| 3,64| 1,84| 0,41|  201|    4| 1,23| 2,21| 0,64| 0,35|   - |   - |
20200916| 051000|    0| 1002| 15,1| 95,0| 1,37| 2,01| 0,81| 0,26|  230|   65| 3,50| 3,87| 2,67| 0,21|  183|    7| 1,49| 2,02| 0,96| 0,24|   - |   - |
20200916| 052000|    0| 1002| 15,2| 95,1| 1,06| 1,55| 0,53| 0,18|  226|   18| 3,37| 3,68| 3,04| 0,13|  176|    2| 1,18| 1,75| 0,60| 0,21|   - |   - |
20200916| 053000|    0| 1002| 15,2| 95,0| 2,20| 3,16| 1,23| 0,46|  226|    3| 3,95| 4,42| 2,94| 0,22|  184|    4| 2,43| 3,17| 1,33| 0,43|   - |   - |
20200916| 054000|    0| 1002| 15,1| 95,1| 2,53| 3,16| 2,01| 0,28|  228|    7| 3,42| 4,14| 2,71| 0,27|  188|    4| 2,69| 3,22| 2,30| 0,22|   - |   - |
20200916| 055000|    0| 1002| 15,1| 95,1| 2,84| 3,30| 2,10| 0,25|  208|    5| 3,21| 4,00| 2,02| 0,43|  177|    5| 2,91| 3,40| 2,39| 0,25|   - |   - |
20200916| 060000|    0| 1002| 15,0| 95,2| 2,43| 2,84| 2,06| 0,17|  207|    3| 2,76| 3,27| 1,93| 0,22|  169|    3| 2,50| 2,94| 2,21| 0,16|   - |   - |
20200916| 061000|    0| 1002| 15,1| 95,3| 2,29| 2,61| 1,96| 0,14|  205|    9| 2,71| 2,99| 2,39| 0,13|  160|    5| 2,35| 2,67| 2,02| 0,13|   - |   - |
20200916| 062000|    0| 1003| 15,1| 95,2| 2,16| 2,47| 1,78| 0,13|  200|    7| 2,44| 2,90| 1,93| 0,22|  149|    4| 2,22| 2,53| 1,84| 0,15|   - |   - |
20200916| 063000|    0| 1003| 15,1| 95,2| 1,86| 2,24| 1,60| 0,11|  210|    6| 1,72| 2,11| 1,38| 0,24|  147|    3| 1,89| 2,16| 1,70| 0,09|   - |   - |
