Estacao 000568
Inicio 20200916000000
Fim 20200930235000
CH01 Dia do ino (de 10 minutos) de medicao [AAAAMMDD]
CH02 Horario do ino (de 10 minutos) de medicao [hhmmss]
CH03 C intervalo, com "0" indicando medicao sem erro
CH04 Pressao do ar [hPa]: media do intervalo
CH05 Temperatura do ar [C] : media do intervalo
CH06 Umidade relativa do ar [% rel]: media do intervalo
CH07 Anemometro superior (89m), velocidade do vento [m/s]: media do intervalo
CH08 Anemometro superior (89m), velocidade do vento [m/s]: maximo do intervalo
CH09 Anemometro superior (89m), velocidade do vento [m/s]:minimo do intervalo
CH10 Anemometro superior (89m), velocidade do vento [m/s]: desvio padrao do intervalo
CH11 Wind Vane superior (86m), direcao de vento []: media do intervalo
CH12 Wind Vane superior (86m), direcao de vento []: desvio padrao do intervalo
CH13 Anemometro 2 (60m), velocidade do vento [m/s]: media do intervalo
CH14 Anemometro 2 (60m), velocidade do vento [m/s]: maximo do intervalo
CH15 Anemometro 2 (60m), velocidade do vento [m/s]:minimo do intervalo
CH16 Anemometro 2 (60m), velocidade do vento [m/s]: desvio padrao do intervalo
CH17 Wind Vane 2 (30m), direcao de vento []: media do intervalo
CH18 Wind Vane 2 (30m), direcao de vento []: desvio padrao do intervalo
CH19 Anemometro 3 (87,5m), velocidade do vento [m/s]: media do intervalo
CH20 Anemometro 3 (87,5m), velocidade do vento [m/s]: maximo do intervalo
CH21 Anemometro 3 (87,5m), velocidade do vento [m/s]:minimo do intervalo
CH22 Anemometro 3 (87,5m), velocidade do vento [m/s]: desvio padrao do intervalo
CH23 Inexistente
CH24 Inexistente
CH01    |CH02   |CH03 |CH04 |CH05 |CH06 |CH07 |CH08 |CH09 |CH10 |CH11 |CH12 |CH13 |CH14 |CH15 |CH16 |CH17 |CH18 |CH19 |CH20 |CH21 |CH22 |CH23 |CH24 |
dados
20200916| 000000|    0| 1007| 15,2| 91,5| 5,22| 5,83| 4,64| 0,30|   72|    3| 3,06| 4,07| 1,72| 0,45|   80|    6| 5,20| 5,84| 4,69| 0,31|   - |   - |
20200916| 001000|    0| 1007| 15,2| 91,6| 4,37| 4,91| 3,85| 0,23|   69|    2| 2,25| 2,88| 1,58| 0,25|   77|    7| 4,34| 4,82| 3,72| 0,23|   - |   - |
20200916| 002000|    0| 1007| 15,1| 91,8| 5,23| 6,43| 4,13| 0,69|   78|    5| 3,53| 5,13| 2,14| 0,85|   89|    7| 5,20| 6,44| 3,99| 0,69|   - |   - |
20200916| 003000|    0| 1006| 15,1| 91,9| 6,59| 6,98| 6,20| 0,17|   89|    3| 5,22| 5,87| 4,26| 0,27|  101|    5| 6,58| 6,95| 6,21| 0,17|   - |   - |
20200916| 004000|    0| 1006| 15,1| 92,0| 6,93| 7,22| 6,71| 0,10|   86|    1| 5,08| 5,92| 4,17| 0,27|   95|    3| 6,92| 7,22| 6,67| 0,10|   - |   - |
20200916| 005000|    0| 1005| 15,2| 92,0| 8,03| 9,48| 6,85| 0,85|   91|    2| 6,36| 7,90| 4,44| 0,93|   99|    3| 8,02| 9,44| 6,76| 0,85|   - |   - |
20200916| 010000|    0| 1004| 15,3| 92,0| 9,94|10,95| 9,15| 0,46|   94|    3| 7,91| 9,52| 6,10| 0,65|  101|    5| 9,96|11,10| 9,30| 0,46|   - |   - |
20200916| 011000|    0| 1005| 15,3| 91,9| 9,68|10,21| 9,06| 0,20|   87|    1| 6,85| 8,04| 5,50| 0,47|   92|    4| 9,69|10,23| 9,07| 0,21|   - |   - |
20200916| 012000|    0| 1005| 15,2| 91,7| 9,47|10,12| 8,60| 0,25|   83|    3| 6,46| 7,49| 4,58| 0,51|   83|    6| 9,43|10,13| 8,56| 0,27|   - |   - |
20200916| 013000|    0| 1005| 15,2| 91,6| 7,92| 9,43| 6,71| 0,41|   79|    2| 4,90| 7,07| 3,47| 0,57|   78|    5| 7,86| 9,26| 6,72| 0,42|   - |   - |
20200916| 014000|    0| 1005| 15,2| 91,6| 7,51| 8,46| 6,39| 0,45|   81|    3| 4,71| 6,24| 2,97| 0,57|   78|    6| 7,46| 8,47| 6,44| 0,44|   - |   - |
20200916| 015000|    0| 1005| 15,1| 91,8| 6,91| 7,49| 6,16| 0,26|   79|    3| 4,45| 5,32| 3,34| 0,38|   73|    7| 6,86| 7,59| 6,21| 0,26|   - |   - |
20200916| 020000|    0| 1005| 15,1| 92,0| 6,95| 8,33| 6,02| 0,46|   77|    1| 4,44| 5,92| 3,20| 0,56|   69|    5| 6,91| 8,38| 5,98| 0,47|   - |   - |
20200916| 021000|    0| 1004| 15,1| 92,3| 9,40|10,49| 7,81| 0,60|   77|    4| 6,74| 8,18| 4,86| 0,72|   73|    7| 9,37|10,41| 7,87| 0,60|   - |   - |
20200916| 022000|    0| 1003| 15,2| 92,5|11,31|15,65| 8,92| 1,53|   81|    2| 8,59|13,30| 6,15| 1,63|   79|    5|11,29|15,85| 8,93| 1,55|   - |   - |
20200916| 023000|    0|  999| 15,3| 92,8|19,52|20,72|15,60| 1,09|   77|    4|15,87|18,56|10,53| 1,48|   76|    7|19,55|20,69|15,71| 1,09|   - |   - |
20200916| 024000|    0| 1001| 15,3| 92,8|16,49|19,75|11,46| 2,23|   77|    2|11,85|17,08| 7,07| 1,75|   72|    6|16,48|19,63|11,47| 2,22|   - |   - |
20200916| 025000|    0| 1002| 15,1| 93,1|11,87|14,13| 9,29| 1,07|   79|    4| 8,90|11,96| 5,96| 1,00|   73|    6|11,83|14,24| 9,03| 1,08|   - |   - |
20200916| 030000|    0| 1001| 15,1| 93,3|11,66|13,85| 9,11| 0,90|   82|    3|10,03|12,52| 7,07| 0,98|   79|    4|11,64|13,55| 8,93| 0,90|   - |   - |
20200916| 031000|    0| 1001| 15,1| 93,6|11,00|12,98| 8,97| 0,75|   71|    5| 8,45|10,81| 5,78| 1,03|   67|    5|10,95|12,90| 8,70| 0,76|   - |   - |
20200916| 032000|    0| 1002| 15,2| 93,9| 9,52|11,37| 7,72| 0,76|   62|    3| 7,02| 9,70| 4,72| 0,73|   57|    6| 9,50|11,56| 7,41| 0,78|   - |   - |
20200916| 033000|    0| 1002| 15,1| 94,2| 8,33|10,17| 6,52| 0,78|   56|    4| 6,39| 8,78| 4,63| 0,70|   50|    5| 8,30|10,27| 6,35| 0,79|   - |   - |
20200916| 034000|    0| 1002| 15,2| 94,5| 8,53|10,26| 6,94| 0,66|   54|    4| 5,91| 7,76| 4,26| 0,65|   48|    7| 8,49|10,41| 7,08| 0,65|   - |   - |
20200916| 035000|    0| 1002| 15,2| 94,8| 7,59| 9,02| 6,25| 0,57|   58|    2| 5,82| 7,44| 4,30| 0,62|   55|    5| 7,56| 8,80| 6,35| 0,55|   - |   - |
20200916| 040000|    0| 1002| 15,2| 95,0| 6,54| 7,31| 5,23| 0,32|   53|    6| 4,90| 6,20| 3,24| 0,54|   47|   11| 6,53| 7,31| 5,29| 0,33|   - |   - |
20200916| 041000|    0| 1002| 15,2| 95,3| 4,45| 5,83| 2,61| 0,83|   34|    8| 2,61| 5,09| 1,22| 0,73|   29|   10| 4,41| 5,84| 2,75| 0,84|   - |   - |
20200916| 042000|    0| 1002| 15,3| 95,4| 2,78| 3,85| 1,96| 0,32|   12|    7| 1,07| 1,81| 0,52| 0,26|  335|   21| 2,73| 3,86| 1,97| 0,34|   - |   - |
20200916| 043000|    0| 1002| 15,4| 95,6| 3,01| 3,81| 2,10| 0,34|   11|    7| 1,62| 2,60| 0,66| 0,46|  332|   13| 2,96| 3,86| 2,20| 0,32|   - |   - |
20200916| 044000|    0| 1003| 15,4| 95,7| 2,63| 3,71| 2,01| 0,30|  357|    6| 1,58| 2,41| 1,12| 0,22|  315|   15| 2,59| 3,63| 2,01| 0,30|   - |   - |
20200916| 045000|    0| 1003| 15,5| 95,8| 1,48| 2,79| 0,67| 0,57|  336|   18| 1,33| 2,14| 0,94| 0,21|  268|   26| 1,44| 2,80| 0,54| 0,58|   - |   - |
20200916| 050000|    0| 1002| 15,5| 95,9| 1,36| 2,29| 0,67| 0,35|  306|   21| 1,54| 2,05| 0,98| 0,33|  241|    9| 1,32| 2,20| 0,72| 0,35|   - |   - |
20200916| 051000|    0| 1003| 15,5| 96,1| 1,31| 2,01| 0,67| 0,31|  272|   20| 2,35| 2,78| 1,86| 0,21|  227|    5| 1,29| 2,01| 0,58| 0,32|   - |   - |
20200916| 052000|    0| 1003| 15,5| 96,0| 2,03| 2,84| 0,95| 0,40|  240|   12| 3,25| 3,89| 2,09| 0,45|  221|    5| 2,06| 2,84| 1,04| 0,42|   - |   - |
20200916| 053000|    0| 1003| 15,5| 96,1| 2,37| 2,98| 1,60| 0,21|  245|    8| 2,84| 3,66| 2,09| 0,29|  221|    5| 2,37| 2,89| 1,64| 0,20|   - |   - |
20200916| 054000|    0| 1003| 15,4| 96,2| 2,55| 3,67| 1,73| 0,47|  241|    5| 2,85| 4,03| 2,09| 0,40|  217|    5| 2,57| 3,72| 1,69| 0,46|   - |   - |
20200916| 055000|    0| 1003| 15,4| 96,3| 2,78| 3,62| 1,96| 0,41|  235|    4| 2,89| 4,07| 1,54| 0,66|  214|    7| 2,81| 3,67| 2,06| 0,40|   - |   - |
20200916| 060000|    0| 1003| 15,4| 96,3| 1,99| 2,42| 1,64| 0,16|  229|    5| 2,10| 2,83| 1,40| 0,31|  203|    6| 2,00| 2,43| 1,64| 0,15|   - |   - |
20200916| 061000|    0| 1003| 15,5| 96,4| 2,34| 2,66| 1,87| 0,11|  227|    4| 2,33| 2,88| 1,77| 0,20|  213|    5| 2,36| 2,66| 1,87| 0,12|   - |   - |
20200916| 062000|    0| 1003| 15,5| 96,4| 2,15| 2,61| 1,69| 0,17|  219|    5| 2,13| 2,83| 1,31| 0,25|  206|    7| 2,18| 2,56| 1,87| 0,16|   - |   - |
20200916| 063000|    0| 1004| 15,5| 96,4| 2,12| 2,75| 1,83| 0,12|  221|   10| 2,20| 2,64| 1,58| 0,19|  206|    6| 2,25| 2,80| 1,87| 0,20|   - |   - |
20200916| 064000|    0| 1004| 15,4| 96,4| 2,13| 2,42| 1,64| 0,13|  213|    3| 1,47| 2,09| 0,98| 0,24|  199|    6| 2,29| 2,70| 1,87| 0,12|   - |   - |
20200916| 065000|    0| 1004| 15,4| 96,5| 1,89| 2,47| 1,18| 0,29|  214|    6| 1,04| 1,35| 0,75| 0,11|  186|   13| 1,96| 2,43| 1,32| 0,23|   - |   - |
20200916| 070000|    0| 1004| 15,4| 96,5| 2,08| 2,98| 1,14| 0,52|  195|    4| 1,59| 2,00| 0,75| 0,30|  170|    8| 2,12| 2,84| 1,32| 0,49|   - |   - |
20200916| 071000|    0| 1004| 15,3| 96,5| 2,08| 2,98| 1,41| 0,37|  206|    4| 1,05| 1,40| 0,57| 0,17|  177|   15| 2,28| 2,80| 1,60| 0,35|   - |   - |
20200916| 072000|    0| 1004| 15,4| 96,6| 2,48| 3,07| 1,60| 0,46|  225|    4| 1,61| 2,05| 1,12| 0,23|  206|   15| 2,48| 3,03| 1,60| 0,45|   - |   - |
20200916| 073000|    0| 1004| 15,4| 96,5| 2,42| 2,84| 2,01| 0,20|  213|    4| 1,41| 2,05| 0,71| 0,30|  190|    9| 2,59| 2,98| 2,01| 0,25|   - |   - |
20200916| 074000|    0| 1004| 15,5| 96,6| 1,05| 2,15| 0,44| 0,48|  223|   10| 1,23| 1,58| 0,75| 0,14|  127|   27| 1,05| 2,06| 0,44| 0,47|   - |   - |
20200916| 075000|    0| 1004| 15,6| 96,5| 0,39| 0,67| 0,00| 0,15|  262|   34| 1,30| 1,63| 0,94| 0,15|   90|   11| 0,35| 0,63| 0,00| 0,15|   - |   - |
20200916| 080000|    0| 1004| 15,7| 96,5| 0,42| 0,72| 0,00| 0,13|  353|   16| 1,58| 1,86| 1,17| 0,13|   77|    8| 0,22| 0,67| 0,00| 0,26|   - |   - |
20200916| 081000|    0| 1004| 15,8| 96,2| 1,34| 1,96| 0,44| 0,46|   38|    5| 2,27| 2,78| 1,63| 0,28|   69|    4| 1,31| 1,97| 0,40| 0,45|   - |   - |
20200916| 082000|    0| 1004| 15,8| 96,3| 1,43| 1,64| 1,09| 0,17|   39|    5| 2,03| 2,37| 1,54| 0,17|   68|    5| 1,40| 1,60| 1,09| 0,16|   - |   - |
20200916| 083000|    0| 1004| 15,8| 96,1| 1,17| 1,73| 0,90| 0,17|   67|    6| 1,93| 2,37| 1,54| 0,16|   75|    6| 1,16| 1,64| 0,90| 0,16|   - |   - |
20200916| 084000|    0| 1004| 15,9| 96,3| 2,26| 3,02| 1,64| 0,30|   48|    2| 2,10| 2,55| 1,72| 0,16|   67|    5| 2,21| 2,98| 1,60| 0,30|   - |   - |
20200916| 085000|    0| 1004| 16,0| 96,2| 3,39| 3,67| 2,93| 0,14|   48|    3| 2,51| 2,92| 2,05| 0,20|   60|    6| 3,34| 3,63| 2,89| 0,13|   - |   - |
20200916| 090000|    0| 1004| 16,1| 96,2| 3,36| 3,62| 2,98| 0,12|   43|    2| 1,94| 2,18| 1,68| 0,11|   58|    4| 3,36| 3,63| 3,03| 0,12|   - |   - |
20200916| 091000|    0| 1004| 16,1| 96,0| 3,63| 4,31| 2,98| 0,28|   50|    3| 2,44| 2,97| 1,81| 0,31|   63|    6| 3,60| 4,27| 2,98| 0,26|   - |   - |
20200916| 092000|    0| 1004| 16,0| 96,0| 2,54| 3,94| 1,18| 0,74|   39|   10| 1,34| 2,78| 0,00| 0,78|   36|   36| 2,51| 3,76| 1,18| 0,74|   - |   - |
20200916| 093000|    0| 1004| 16,0| 96,0| 1,12| 1,50| 0,81| 0,14|  297|   46| 1,01| 1,45| 0,00| 0,30|  245|   30| 1,08| 1,50| 0,77| 0,15|   - |   - |
20200916| 094000|    0| 1004| 16,1| 95,9| 1,33| 1,69| 0,81| 0,18|  237|   12| 1,46| 1,86| 0,89| 0,18|  183|   12| 1,32| 1,73| 0,81| 0,17|   - |   - |
20200916| 095000|    0| 1004| 16,2| 95,9| 1,13| 1,87| 0,54| 0,33|  246|   11| 1,02| 1,45| 0,66| 0,21|  186|    9| 1,10| 1,78| 0,54| 0,32|   - |   - |
20200916| 100000|    0| 1004| 16,3| 95,6| 1,23| 1,64| 0,77| 0,18|  218|   17| 1,47| 1,95| 0,71| 0,35|  174|   13| 1,25| 1,69| 0,63| 0,23|   - |   - |
20200916| 101000|    0| 1004| 16,4| 95,6| 0,73| 1,41| 0,26| 0,24|  157|   35| 1,59| 1,86| 1,22| 0,15|  144|   11| 0,74| 1,50| 0,30| 0,25|   - |   - |
