Estacao 000569
Inicio 20200916000000
Fim 20200930235000
CH01 Dia do ino (de 10 minutos) de medicao [AAAAMMDD]
CH02 Horario do ino (de 10 minutos) de medicao [hhmmss]
CH03 C intervalo, com "0" indicando medicao sem erro
CH04 Pressao do ar [hPa]: media do intervalo
CH05 Temperatura do ar [C] : media do intervalo
CH06 Umidade relativa do ar [% rel]: media do intervalo
CH07 Anemometro superior (89m), velocidade do vento [m/s]: media do intervalo
CH08 Anemometro superior (89m), velocidade do vento [m/s]: maximo do intervalo
CH09 Anemometro superior (89m), velocidade do vento [m/s]:minimo do intervalo
CH10 Anemometro superior (89m), velocidade do vento [m/s]: desvio padrao do intervalo
CH11 Wind Vane superior (86m), direcao de vento []: media do intervalo
CH12 Wind Vane superior (86m), direcao de vento []: desvio padrao do intervalo
CH13 Anemometro 2 (60m), velocidade do vento [m/s]: media do intervalo
CH14 Anemometro 2 (60m), velocidade do vento [m/s]: maximo do intervalo
CH15 Anemometro 2 (60m), velocidade do vento [m/s]:minimo do intervalo
CH16 Anemometro 2 (60m), velocidade do vento [m/s]: desvio padrao do intervalo
CH17 Wind Vane 2 (30m), direcao de vento []: media do intervalo
CH18 Wind Vane 2 (30m), direcao de vento []: desvio padrao do intervalo
CH19 Anemometro 3 (87,5m), velocidade do vento [m/s]: media do intervalo
CH20 Anemometro 3 (87,5m), velocidade do vento [m/s]: maximo do intervalo
CH21 Anemometro 3 (87,5m), velocidade do vento [m/s]:minimo do intervalo
CH22 Anemometro 3 (87,5m), velocidade do vento [m/s]: desvio padrao do intervalo
CH23 Inexistente
CH24 Inexistente
CH01    |CH02   |CH03 |CH04 |CH05 |CH06 |CH07 |CH08 |CH09 |CH10 |CH11 |CH12 |CH13 |CH14 |CH15 |CH16 |CH17 |CH18 |CH19 |CH20 |CH21 |CH22 |CH23 |CH24 |
dados
20200916| 000000|    0| 1010| 14,7| 90,4| 5,16| 5,52| 4,60| 0,20|   69|    4| 3,21| 4,10| 2,21| 0,35|   79|    8| 5,10| 5,51| 4,64| 0,21|   - |   - |
20200916| 001000|    0| 1010| 14,7| 90,7| 4,63| 5,11| 3,27| 0,31|   59|    3| 2,50| 3,27| 1,80| 0,23|   69|    6| 4,58| 5,05| 3,07| 0,29|   - |   - |
20200916| 002000|    0| 1010| 14,8| 90,8| 5,31| 6,35| 4,32| 0,59|   66|    5| 3,33| 4,93| 1,94| 0,80|   84|    7| 5,28| 6,30| 4,32| 0,60|   - |   - |
20200916| 003000|    0| 1009| 14,8| 91,0| 7,13| 7,77| 6,12| 0,41|   79|    2| 5,96| 6,90| 4,70| 0,50|  101|    3| 7,11| 7,82| 6,11| 0,42|   - |   - |
20200916| 004000|    0| 1009| 14,8| 91,1| 7,53| 7,91| 7,22| 0,12|   75|    1| 5,85| 6,58| 4,88| 0,30|   95|    2| 7,51| 7,82| 7,26| 0,12|   - |   - |
20200916| 005000|    0| 1008| 14,8| 91,1| 8,16| 9,48| 7,41| 0,65|   80|    3| 6,35| 8,24| 4,79| 0,80|  100|    3| 8,16| 9,43| 7,36| 0,64|   - |   - |
20200916| 010000|    0| 1008| 14,9| 91,0|10,32|11,14| 9,21| 0,46|   86|    1| 8,59| 9,89| 7,41| 0,51|  105|    2|10,33|11,23| 9,20| 0,47|   - |   - |
20200916| 011000|    0| 1008| 14,9| 90,8| 9,81|10,40| 9,39| 0,18|   80|    1| 7,09| 8,70| 5,48| 0,52|   97|    3| 9,80|10,31| 9,25| 0,17|   - |   - |
20200916| 012000|    0| 1008| 14,9| 90,6| 9,52|10,36| 7,54| 0,60|   78|    2| 6,63| 8,15| 4,14| 0,78|   92|    5| 9,48|10,31| 7,59| 0,61|   - |   - |
20200916| 013000|    0| 1009| 14,7| 90,6| 7,37| 9,07| 6,44| 0,54|   74|    2| 4,57| 6,35| 3,09| 0,61|   80|    5| 7,29| 9,20| 6,39| 0,55|   - |   - |
20200916| 014000|    0| 1009| 14,7| 90,7| 7,47| 8,56| 6,58| 0,35|   73|    2| 4,77| 5,57| 3,50| 0,45|   80|    4| 7,39| 8,60| 6,39| 0,37|   - |   - |
20200916| 015000|    0| 1009| 14,7| 90,9| 7,05| 8,05| 5,75| 0,40|   71|    2| 4,52| 5,75| 3,22| 0,45|   76|    5| 7,00| 8,10| 5,84| 0,40|   - |   - |
20200916| 020000|    0| 1008| 14,7| 91,2| 6,79| 8,56| 5,89| 0,64|   67|    2| 4,55| 6,44| 2,81| 0,77|   68|    5| 6,74| 8,51| 5,61| 0,64|   - |   - |
20200916| 021000|    0| 1008| 14,6| 91,6| 9,07| 9,76| 8,19| 0,32|   67|    3| 6,53| 7,73| 4,97| 0,54|   71|    6| 9,03| 9,75| 8,23| 0,32|   - |   - |
20200916| 022000|    0| 1007| 14,7| 91,9|11,13|14,77| 9,48| 1,12|   74|    1| 8,32|11,96| 5,98| 1,14|   84|    3|11,09|14,64| 9,39| 1,14|   - |   - |
20200916| 023000|    0| 1003| 14,9| 92,2|19,92|21,86|14,54| 1,69|   76|    3|16,72|20,15|10,86| 2,06|   87|    4|19,98|21,91|14,54| 1,72|   - |   - |
20200916| 024000|    0| 1005| 14,9| 92,2|16,23|19,14|12,06| 1,51|   70|    3|11,34|15,73| 6,30| 1,60|   75|    7|16,17|19,10|12,01| 1,51|   - |   - |
20200916| 025000|    0| 1005| 14,8| 92,4|12,18|14,08|10,03| 0,80|   70|    3| 9,38|11,87| 6,81| 0,91|   76|    5|12,14|14,13| 9,89| 0,81|   - |   - |
20200916| 030000|    0| 1005| 14,8| 92,4|12,31|15,14|10,26| 0,80|   68|    4|10,10|12,42| 7,87| 0,79|   77|    4|12,27|15,10| 9,98| 0,83|   - |   - |
20200916| 031000|    0| 1005| 14,9| 92,5|12,23|13,90|10,36| 0,62|   65|    3| 9,61|11,78| 6,21| 1,00|   71|    5|12,19|13,67|10,12| 0,62|   - |   - |
20200916| 032000|    0| 1005| 14,9| 92,7|11,18|12,47| 9,11| 0,56|   56|    4| 8,93|10,95| 6,07| 0,84|   60|    6|11,11|12,61| 9,02| 0,60|   - |   - |
20200916| 033000|    0| 1005| 14,9| 92,8| 7,62|11,83| 4,09| 1,76|   50|    6| 6,54|10,17| 3,68| 1,42|   53|    6| 7,53|11,64| 4,04| 1,69|   - |   - |
20200916| 034000|    0| 1005| 14,9| 93,1| 5,21| 9,21| 2,21| 1,11|   46|   11| 4,73| 7,68| 2,58| 1,10|   54|    7| 5,17| 8,97| 2,93| 1,07|   - |   - |
20200916| 035000|    0| 1005| 14,8| 93,3| 5,48| 9,02| 2,58| 1,10|   48|   12| 4,58| 6,90| 2,67| 0,84|   55|   11| 5,40| 8,93| 2,80| 1,15|   - |   - |
20200916| 040000|    0| 1005| 14,9| 93,5| 4,34| 7,36| 2,39| 1,10|   46|   11| 4,53| 7,13| 1,75| 1,12|   56|    9| 4,26| 7,45| 2,47| 1,11|   - |   - |
20200916| 041000|    0| 1006| 14,9| 93,8| 4,24| 5,57| 2,30| 0,63|   31|    6| 3,16| 4,47| 1,85| 0,46|   32|    7| 4,20| 5,38| 2,01| 0,62|   - |   - |
20200916| 042000|    0| 1006| 14,9| 94,0| 3,56| 5,11| 2,16| 0,59|   17|    9| 2,81| 4,05| 1,94| 0,44|   26|    7| 3,50| 5,15| 2,20| 0,63|   - |   - |
20200916| 043000|    0| 1005| 15,0| 94,2| 3,76| 5,11| 2,12| 0,54|   13|    9| 2,48| 3,59| 1,52| 0,35|    9|   12| 3,69| 5,01| 2,01| 0,56|   - |   - |
20200916| 044000|    0| 1006| 15,1| 94,3| 2,83| 4,55| 1,70| 0,64|  346|   12| 2,23| 3,04| 1,48| 0,34|  328|   22| 2,78| 4,50| 1,74| 0,65|   - |   - |
