Estacao 000570
Inicio 20200916000000
Fim 20200930235000
CH01 Dia do ino (de 10 minutos) de medicao [AAAAMMDD]
CH02 Horario do ino (de 10 minutos) de medicao [hhmmss]
CH03 C intervalo, com "0" indicando medicao sem erro
CH04 Pressao do ar [hPa]: media do intervalo
CH05 Temperatura do ar [C] : media do intervalo
CH06 Umidade relativa do ar [% rel]: media do intervalo
CH07 Anemometro superior (89m), velocidade do vento [m/s]: media do intervalo
CH08 Anemometro superior (89m), velocidade do vento [m/s]: maximo do intervalo
CH09 Anemometro superior (89m), velocidade do vento [m/s]:minimo do intervalo
CH10 Anemometro superior (89m), velocidade do vento [m/s]: desvio padrao do intervalo
CH11 Wind Vane superior (86m), direcao de vento []: media do intervalo
CH12 Wind Vane superior (86m), direcao de vento []: desvio padrao do intervalo
CH13 Anemometro 2 (60m), velocidade do vento [m/s]: media do intervalo
CH14 Anemometro 2 (60m), velocidade do vento [m/s]: maximo do intervalo
CH15 Anemometro 2 (60m), velocidade do vento [m/s]:minimo do intervalo
CH16 Anemometro 2 (60m), velocidade do vento [m/s]: desvio padrao do intervalo
CH17 Wind Vane 2 (30m), direcao de vento []: media do intervalo
CH18 Wind Vane 2 (30m), direcao de vento []: desvio padrao do intervalo
CH19 Anemometro 3 (87,5m), velocidade do vento [m/s]: media do intervalo
CH20 Anemometro 3 (87,5m), velocidade do vento [m/s]: maximo do intervalo
CH21 Anemometro 3 (87,5m), velocidade do vento [m/s]:minimo do intervalo
CH22 Anemometro 3 (87,5m), velocidade do vento [m/s]: desvio padrao do intervalo
CH23 Inexistente
CH24 Inexistente
CH01    |CH02   |CH03 |CH04 |CH05 |CH06 |CH07 |CH08 |CH09 |CH10 |CH11 |CH12 |CH13 |CH14 |CH15 |CH16 |CH17 |CH18 |CH19 |CH20 |CH21 |CH22 |CH23 |CH24 |
dados
20200916| 000000|    0| 1012| 14,8| 92,8| 4,21| 4,92| 3,36| 0,33|   53|    4| 2,33| 3,26| 1,28| 0,38|   65|    8| 4,14| 4,92| 3,21| 0,32|   - |   - |
20200916| 001000|    0| 1012| 14,8| 93,0| 3,63| 4,32| 2,95| 0,19|   50|    4| 1,91| 2,39| 1,33| 0,22|   65|    8| 3,56| 4,13| 2,94| 0,20|   - |   - |
20200916| 002000|    0| 1011| 14,8| 93,2| 5,33| 6,85| 3,86| 0,81|   69|    7| 4,07| 5,84| 2,34| 0,96|   89|    7| 5,28| 6,89| 3,86| 0,82|   - |   - |
20200916| 003000|    0| 1010| 14,8| 93,4| 6,58| 6,94| 6,16| 0,15|   69|    3| 4,77| 5,80| 3,59| 0,40|   88|    5| 6,53| 6,85| 5,97| 0,16|   - |   - |
20200916| 004000|    0| 1010| 14,8| 93,5| 6,64| 7,13| 6,30| 0,14|   67|    2| 4,57| 5,70| 3,63| 0,34|   85|    5| 6,62| 7,08| 6,30| 0,13|   - |   - |
20200916| 005000|    0| 1009| 14,9| 93,6| 8,35| 9,61| 6,90| 0,82|   73|    1| 6,27| 8,33| 4,23| 0,89|   89|    4| 8,33| 9,71| 6,89| 0,83|   - |   - |
20200916| 010000|    0| 1009| 14,9| 93,5| 9,67|10,67| 8,88| 0,45|   71|    4| 6,96| 9,03| 4,64| 0,91|   83|    7| 9,66|10,63| 8,88| 0,44|   - |   - |
20200916| 011000|    0| 1009| 14,9| 93,3| 9,22|10,03| 8,14| 0,37|   67|    2| 6,22| 7,68| 4,32| 0,58|   76|    5| 9,18|10,08| 8,00| 0,38|   - |   - |
20200916| 012000|    0| 1010| 14,9| 93,1| 8,80| 9,84| 7,50| 0,49|   61|    4| 5,60| 7,22| 3,82| 0,65|   67|    7| 8,73| 9,89| 7,26| 0,50|   - |   - |
20200916| 013000|    0| 1010| 14,9| 93,1| 7,43| 8,46| 6,21| 0,42|   62|    3| 4,21| 5,75| 3,08| 0,59|   71|    7| 7,36| 8,33| 6,16| 0,42|   - |   - |
20200916| 014000|    0| 1010| 14,9| 93,2| 7,08| 8,33| 5,70| 0,43|   60|    4| 4,53| 5,84| 2,99| 0,56|   67|    6| 6,99| 8,23| 5,74| 0,43|   - |   - |
20200916| 015000|    0| 1010| 14,9| 93,2| 7,21| 7,95| 6,12| 0,32|   56|    3| 4,48| 5,80| 3,31| 0,42|   61|    5| 7,11| 7,86| 5,88| 0,33|   - |   - |
20200916| 020000|    0| 1010| 15,0| 93,3| 7,37| 9,06| 6,16| 0,58|   56|    2| 4,53| 6,99| 3,26| 0,65|   62|    6| 7,29| 9,02| 6,25| 0,59|   - |   - |
20200916| 021000|    0| 1009| 15,0| 93,5| 9,88|10,63| 8,83| 0,34|   57|    2| 7,08| 8,70| 5,11| 0,60|   63|    5| 9,81|10,54| 8,65| 0,34|   - |   - |
20200916| 022000|    0| 1007| 15,0| 93,5|12,95|18,07| 9,98| 2,17|   60|    2| 9,77|15,52| 6,40| 2,31|   68|    4|12,88|17,85| 9,85| 2,18|   - |   - |
